original_language,popularity,release_date,vote_average,vote_count,studio,movie,production_budget,domestic_gross,worldwide_gross
en,10.444,2011-09-09,6.3,2128,WB,Contagion,"$60,000,000","$75,658,097","$137,551,594"
en,10.390999999999998,2011-09-30,6.4,1271,Fox,What's Your Number?,"$20,000,000","$14,011,084","$30,163,785"
en,10.378,2011-12-25,7.2,1849,BV,War Horse,"$70,000,000","$79,883,359","$156,815,529"
en,10.352,2011-11-23,6.3,1066,SPC,A Dangerous Method,"$20,000,000","$5,702,083","$14,807,531"
en,10.322000000000001,2011-06-17,6.9,532,Focus,Beginners,"$3,200,000","$5,790,894","$14,314,407"
en,10.308,2011-08-19,7.2,2105,Focus,One Day,"$15,000,000","$13,843,771","$59,168,692"
en,10.177,2011-07-29,6.9,563,SPC,The Guard,"$6,000,000","$5,359,774","$21,197,454"
en,10.155,2011-10-14,7.4,1787,Wein.,The Artist,"$16,000,000","$44,667,095","$128,256,712"
en,10.136000000000001,2011-03-04,6.1,1748,CBS,Beastly,"$17,000,000","$27,865,571","$38,028,230"
en,10.127,2011-10-07,6.7,1405,Sony,The Ides of March,"$23,000,000","$40,962,534","$77,735,925"
en,10.091000000000001,2011-10-28,6.5,638,ParV,Like Crazy,"$250,000","$3,395,391","$3,728,400"
en,10.03,2011-07-22,6.7,853,FoxS,Another Earth,"$175,000","$1,321,194","$2,102,779"
en,10.015,2011-11-06,5.6,747,Rela.,Haywire,"$23,000,000","$18,942,396","$36,374,700"
en,10.009,2011-08-19,4.6,487,W/Dim.,Spy Kids: All the Time in the World,"$27,000,000","$38,536,376","$80,681,183"
en,9.984,2011-02-25,5.5,1009,WB (NL),Hall Pass,"$68,000,000","$45,060,734","$87,173,475"
en,9.931000000000001,2011-12-23,6.7,1523,Fox,We Bought a Zoo,"$50,000,000","$75,624,550","$118,729,073"
en,9.805,2011-05-13,6.5,2783,Uni.,Bridesmaids,"$32,500,000","$169,211,718","$289,632,023"
en,9.709,2011-04-08,6.6,1944,Focus,Hanna,"$30,000,000","$40,259,119","$65,343,694"
en,9.676,2011-01-28,5.9,994,WB (NL),The Rite,"$37,000,000","$33,047,633","$97,143,987"
en,9.669,2011-10-21,5.9,1197,Par.,Paranormal Activity 3,"$5,000,000","$104,028,807","$207,039,844"
en,9.612,2011-07-29,6.4,1144,SGem,Attack the Block,"$13,000,000","$1,024,175","$6,459,183"
en,9.517999999999999,2011-01-13,5.3,448,Uni.,The Dilemma,"$70,000,000","$48,475,290","$70,546,865"
en,9.498,2011-10-21,6.8,856,RAtt.,Margin Call,"$3,400,000","$5,353,586","$20,433,227"
en,9.477,2011-10-21,6.7,413,FoxS,Martha Marcy May Marlene,"$1,000,000","$2,981,038","$5,438,911"
en,9.15,2011-02-04,6.2,220,IFC,The Other Woman,"$40,000,000","$83,911,193","$195,111,193"
en,9.12,2011-09-23,6.5,477,Rela.,Machine Gun Preacher,"$30,000,000","$538,690","$3,721,988"
en,9.078,2011-10-28,6.3,1422,P/DW,Puss in Boots,"$130,000,000","$149,260,504","$554,987,477"
en,9.047,2011-09-30,6.0,670,Uni.,Dream House,"$50,000,000","$21,302,340","$41,642,166"
en,8.994,2010-12-29,6.9,1677,Wein.,Blue Valentine,"$1,000,000","$9,737,892","$16,566,240"
en,8.987,2011-12-30,6.4,899,Wein.,The Iron Lady,"$14,000,000","$29,959,436","$115,592,104"
en,8.961,2011-03-25,6.4,492,Fox,Diary of a Wimpy Kid: Rodrick Rules,"$18,000,000","$52,698,535","$73,695,194"
en,8.852,2011-03-11,5.7,299,BV,Mars Needs Moms,"$150,000,000","$21,392,758","$39,549,758"
en,8.821,2011-09-13,6.2,320,ParV,"Jeff, Who Lives at Home","$10,000,000","$4,269,426","$4,708,127"
en,8.747,2011-09-30,6.3,138,FoxS,Margaret,"$14,000,000","$47,185","$623,292"
en,8.695,2011-06-17,6.5,752,FoxS,The Art of Getting By,"$4,000,000","$1,430,241","$1,989,035"
en,8.689,2011-08-18,5.7,102,Anch.,5 Days of War,"$12,000,000","$17,479","$87,793"
en,8.628,2011-11-09,6.2,1303,WB,J. Edgar,"$35,000,000","$37,306,030","$84,606,030"
en,8.602,2011-02-11,5.1,240,Par.,Justin Bieber: Never Say Never,"$13,000,000","$73,013,910","$99,034,125"
en,8.523,2011-08-26,6.1,527,Wein.,Our Idiot Brother,"$5,000,000","$24,814,830","$25,861,249"
en,8.494,2011-12-30,5.5,324,Magn.,The Innkeepers,"$750,000","$78,396","$1,011,535"
en,8.477,2011-05-06,6.0,103,TriS,Jumping the Broom,"$7,000,000","$37,295,394","$38,158,601"
en,8.459,2011-04-08,7.0,688,TriS,Soul Surfer,"$18,000,000","$43,853,424","$47,158,652"
en,8.443,2011-02-11,6.1,694,Focus,The Eagle,"$25,000,000","$19,490,041","$38,993,548"
en,8.384,2011-09-02,5.0,486,W/Dim.,Apollo 18,"$5,000,000","$17,686,929","$26,517,819"
en,8.335,2011-12-16,5.7,603,Par.,Young Adult,"$12,000,000","$16,311,571","$22,750,356"
en,8.318999999999999,2010-09-01,5.9,417,Magn.,Rubber,"$500,000","$100,370","$680,914"
en,8.271,2011-09-16,5.2,231,Wein.,I Don't Know How She Does It,"$24,000,000","$9,659,074","$24,474,463"
en,8.134,2011-02-04,5.4,406,SGem,The Roommate,"$16,000,000","$37,300,107","$52,545,707"
en,8.131,2011-11-17,5.9,754,WB,Happy Feet Two,"$135,000,000","$64,006,466","$157,956,466"
en,8.113999999999999,2011-10-28,6.4,434,Sony,Anonymous,"$27,500,000","$4,463,292","$15,815,509"
en,7.879,2011-09-02,5.0,245,Rela.,Shark Night 3D,"$25,000,000","$18,877,153","$18,877,153"
en,7.87,2011-02-03,6.3,333,MNE,A Little Bit of Heaven,"$12,500,000","$10,011","$1,100,287"
en,7.816,2011-09-23,6.1,472,SMod,Red State,"$4,000,000","$1,065,429","$1,983,596"
en,7.694,2011-02-11,6.0,206,FoxS,Cedar Rapids,"$10,000,000","$6,861,102","$7,862,131"
fr,7.682,2011-11-11,7.8,670,IFC,Polisse,"$8,900,000","$176,988","$22,744,132"
en,7.586,2011-11-04,5.1,156,Anch.,The Son of No One,"$15,000,000","$30,680","$1,148,578"
en,7.567,2011-05-05,6.1,591,WB,Something Borrowed,"$35,000,000","$39,046,489","$65,084,116"
en,7.547999999999999,2011-10-07,6.7,111,Magn.,Blackthorn,"$4,500,000","$200,558","$1,217,307"
en,7.518,2012-04-27,6.6,503,MNE,Bernie,"$6,000,000","$9,204,489","$10,106,975"
en,7.507999999999999,2011-11-01,4.4,243,OMNI/FSR,Dylan Dog: Dead of Night,"$20,000,000","$1,186,538","$6,093,725"
en,7.505,2011-07-29,6.7,291,LGF,The Devil's Double,"$19,100,000","$1,361,512","$5,965,646"
en,7.492999999999999,2011-05-13,6.0,301,RAtt.,Everything Must Go,"$5,000,000","$2,712,131","$2,821,010"
en,7.457000000000001,2011-02-04,5.9,515,Uni.,Sanctum,"$30,000,000","$23,209,310","$108,957,098"
en,7.412000000000001,2011-06-03,7.4,770,Wein.,Submarine,"$1,900,000","$467,602","$4,581,937"
en,7.406000000000001,2011-09-30,7.0,128,TriS,Courageous,"$2,000,000","$34,522,221","$35,185,884"
en,7.357,2011-05-05,6.3,464,Sum.,The Beaver,"$21,000,000","$970,816","$5,046,038"
en,7.261,2011-06-30,5.8,676,Uni.,Larry Crowne,"$30,000,000","$35,608,245","$61,449,135"
en,7.212000000000001,2011-01-22,6.4,169,FoxS,Sound of My Voice,"$135,000","$408,015","$429,448"
en,7.079,2011-01-21,5.2,184,ORF,Silent House,"$2,000,000","$12,739,737","$16,610,760"
en,7.077000000000001,2011-10-14,5.8,393,Fox,The Big Year,"$41,000,000","$7,204,138","$7,684,524"
en,7.058,2011-05-06,5.1,93,Gold.,There Be Dragons,"$36,000,000","$1,069,334","$4,020,990"
en,6.9110000000000005,2011-04-29,6.0,276,BV,Prom,"$8,000,000","$10,130,219","$10,763,183"
en,6.492999999999999,2011-04-15,6.5,226,RAtt.,The Conspirator,"$25,000,000","$11,538,204","$15,907,411"
en,6.277,2011-12-21,6.3,227,RAtt.,Albert Nobbs,"$7,500,000","$3,014,696","$8,539,003"
en,6.209,2011-04-22,6.9,1627,Fox,Water for Elephants,"$38,000,000","$58,709,717","$116,809,717"
fr,6.021,2011-07-29,6.6,230,Magn.,Point Blank,"$3,000,000",$0,$0
fr,5.973,2011-10-21,6.9,169,Jan.,Le Havre,"$5,500,000","$611,709","$13,480,196"
en,5.885,2011-06-24,7.1,97,Sum.,A Better Life,"$10,000,000","$1,759,252","$1,884,251"
en,5.872000000000001,2011-06-03,6.0,47,Anch.,Beautiful Boy,"$25,000,000","$7,634,767","$13,031,424"
en,5.473,2011-11-18,6.1,60,P4,Another Happy Day,"$4,000,000","$9,120","$978,527"
en,5.3389999999999995,2011-06-28,6.1,4961,P/DW,Transformers: Dark of the Moon,"$195,000,000","$352,390,543","$1,123,790,543"
en,5.121,2011-10-11,6.3,96,,Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191"
en,4.758,2011-09-27,4.4,18,BV,Inside Out,"$175,000,000","$356,461,711","$854,235,992"
en,4.749,2011-08-26,6.0,57,IFC,Brighton Rock,"$11,000,000","$229,653","$229,653"
en,4.545,2011-08-26,5.9,21,SPC,Higher Ground,"$1,800,000","$841,056","$842,693"
en,4.519,2011-07-15,5.9,39,FoxS,Snow Flower and the Secret Fan,"$6,000,000","$1,348,205","$11,348,205"
en,3.8360000000000003,2011-07-29,5.8,38,RAtt.,The Future,"$1,000,000","$568,662","$1,239,174"
fa,2.86,2011-08-26,6.9,45,RAtt.,Circumstance,"$900,000","$454,121","$958,978"
es,2.563,2011-06-24,5.6,30,Uni.,Leap Year,"$19,000,000","$25,918,920","$32,618,920"
en,2.097,2011-04-28,7.2,4294,Uni.,Fast Five,"$125,000,000","$210,031,325","$630,163,454"
en,2.0580000000000003,2011-01-18,5.1,11,BV,Black Panther,"$200,000,000","$700,059,566","$1,348,258,224"
hi,1.4909999999999999,2011-04-22,5.4,16,FoxS,Dum Maaro Dum,"$5,200,000","$564,489","$11,633,427"
en,1.4469999999999998,2011-06-03,7.2,8211,Fox,X-Men: First Class,"$160,000,000","$146,408,305","$355,408,305"
ko,1.4,2011-04-11,4.9,9,RAtt.,The Last Godfather,"$13,400,000","$164,247","$164,247"
en,1.125,2011-04-14,2.5,1,Focus,The Forest,"$10,000,000","$26,594,261","$40,749,230"
en,0.725,2011-01-01,3.5,2,Fox,Snatched,"$42,000,000","$45,852,178","$57,852,177"
en,0.6,2011-12-07,10.0,1,LGF,Nerve,"$20,000,000","$38,583,626","$70,652,284"
hu,0.6,2011-04-10,7.0,1,WB (NL),Vacation,"$31,000,000","$58,884,188","$102,306,500"
xx,0.6,2011-01-01,6.0,2,IFC,The D Train,"$3,000,000","$669,688","$772,366"
en,0.6,2008-11-14,5.7,6,Uni.,The Boy Next Door,"$4,000,000","$36,006,065","$53,401,938"
en,0.6,2011-06-07,4.5,2,Rela.,Paranoia,"$40,000,000","$7,388,654","$16,340,767"
en,0.6,2011-05-03,3.8,8,LG/S,Sinister,"$3,000,000","$48,086,903","$87,727,807"
en,0.6,2011-01-01,1.0,1,LG/S,Snitch,"$15,000,000","$42,930,462","$57,907,734"
en,0.6,2011-01-01,1.0,1,LG/S,Snitch,"$850,000",$0,$0
en,26.939,2012-12-14,7.2,12076,WB (NL),The Hobbit: An Unexpected Journey,"$250,000,000","$303,003,568","$1,017,003,568"
en,26.22,2012-07-20,7.7,13933,WB,The Dark Knight Rises,"$275,000,000","$448,139,099","$1,084,439,099"
en,24.98,2012-06-08,6.4,7384,Fox,Prometheus,"$125,000,000","$126,477,084","$402,448,265"
en,24.391,2012-07-04,6.5,10411,Sony,The Amazing Spider-Man,"$220,000,000","$262,030,663","$757,890,267"
en,22.967,2012-11-02,7.3,7780,BV,Wreck-It Ralph,"$165,000,000","$189,412,677","$496,511,521"
en,21.741999999999997,2012-05-18,5.6,3240,Uni.,Battleship,"$220,000,000","$65,233,400","$313,477,717"
en,21.26,2012-12-25,8.0,15725,Wein.,Django Unchained,"$100,000,000","$162,805,434","$449,948,323"
en,21.233,2012-06-01,5.9,5258,Uni.,Snow White and the Huntsman,"$170,000,000","$155,136,755","$401,021,746"
en,19.27,2012-11-09,7.1,10441,Sony,Skyfall,"$200,000,000","$304,360,277","$1,110,526,981"
en,18.908,2012-06-22,6.9,8116,BV,Brave,"$185,000,000","$237,282,182","$554,606,532"
en,18.705,2012-06-08,6.5,3380,P/DW,Madagascar 3: Europe's Most Wanted,"$145,000,000","$216,391,482","$746,921,271"
en,18.549,2012-03-09,6.1,3338,BV,John Carter,"$275,000,000","$73,058,679","$282,778,100"
en,18.312,2012-12-21,6.4,4155,Par.,Jack Reacher,"$60,000,000","$80,070,736","$217,370,736"
en,18.05,2012-08-10,6.1,3630,Uni.,The Bourne Legacy,"$125,000,000","$113,203,870","$280,355,920"
en,17.537,2012-07-13,6.3,4598,Fox,Ice Age: Continental Drift,"$95,000,000","$161,321,843","$879,765,137"
en,17.215999999999998,2012-08-17,6.2,4219,LGF,The Expendables 2,"$100,000,000","$85,028,192","$311,979,256"
en,17.199,2012-04-06,6.2,2679,Uni.,American Reunion,"$50,000,000","$56,758,835","$236,799,211"
en,16.779,2012-09-28,6.8,6723,TriS,Looper,"$30,000,000","$66,486,205","$170,466,405"
en,16.078,2012-10-04,6.2,4035,Fox,Taken 2,"$45,000,000","$139,854,287","$377,807,404"
en,15.793,2012-10-12,7.2,5127,WB,Argo,"$44,500,000","$136,025,503","$227,140,757"
en,15.75,2012-05-11,5.9,4197,WB,Dark Shadows,"$150,000,000","$79,727,149","$238,202,668"
en,15.457,2012-11-02,5.3,573,Uni.,The Man with the Iron Fists,"$15,000,000","$15,634,090","$22,018,988"
en,15.350999999999999,2012-12-25,7.1,7636,Wein.,Silver Linings Playbook,"$21,000,000","$132,092,958","$236,412,453"
en,15.335999999999999,2012-04-12,6.5,4185,LGF,The Cabin in the Woods,"$30,000,000","$42,073,277","$70,689,968"
en,15.318,2012-09-28,6.9,5013,Sony,Hotel Transylvania,"$85,000,000","$148,313,048","$378,505,812"
en,15.148,2012-09-21,7.8,5938,LG/S,The Perks of Being a Wallflower,"$13,000,000","$17,742,948","$33,069,303"
en,15.0,2012-11-21,7.3,8723,Fox,Life of Pi,"$120,000,000","$124,987,022","$620,912,003"
en,14.991,2012-03-29,5.6,2442,WB,Wrath of the Titans,"$150,000,000","$83,670,083","$305,270,083"
en,14.934000000000001,2012-11-21,7.3,3697,P/DW,Rise of the Guardians,"$145,000,000","$103,412,758","$306,900,902"
en,14.835999999999999,2012-03-12,6.8,6527,Sony,21 Jump Street,"$42,000,000","$138,447,667","$202,812,429"
en,14.681,2012-10-26,6.8,4505,WB,Cloud Atlas,"$102,000,000","$27,108,272","$130,673,154"
en,14.66,2012-12-04,7.2,3614,LG/S,The Impossible,"$40,000,000","$19,019,882","$169,590,606"
en,14.658,2012-05-25,5.0,842,WB,Chernobyl Diaries,"$1,000,000","$18,119,640","$42,411,721"
en,14.627,2012-10-05,6.8,1685,BV,Frankenweenie,"$39,000,000","$35,287,788","$81,150,788"
en,14.475,2012-06-29,6.3,7727,Uni.,Ted,"$50,000,000","$218,665,740","$556,016,627"
en,14.454,2012-02-10,5.9,2152,WB (NL),Journey 2: The Mysterious Island,"$79,000,000","$103,860,290","$318,146,162"
en,14.239,2012-12-19,6.9,2553,Sony,Zero Dark Thirty,"$52,500,000","$95,720,716","$134,612,435"
en,14.212,2012-03-23,7.1,14587,LGF,The Hunger Games,"$80,000,000","$408,010,692","$677,923,379"
en,14.085999999999999,2012-05-25,7.7,3023,Focus,Moonrise Kingdom,"$16,000,000","$45,512,466","$68,848,446"
en,13.886,2012-09-28,7.3,4233,Uni.,Pitch Perfect,"$17,000,000","$65,001,093","$116,044,347"
en,13.742,2012-07-27,6.5,703,LD,Killer Joe,"$10,000,000","$1,291,645","$4,659,110"
en,13.7,2012-06-29,6.1,1850,WB,Magic Mike,"$7,000,000","$113,721,571","$170,549,753"
en,13.681,2012-10-26,5.2,786,ORF,Silent Hill: Revelation 3D,"$20,000,000","$17,530,219","$55,975,672"
en,13.32,2012-08-17,6.8,1358,Focus,ParaNorman,"$60,000,000","$56,003,051","$108,119,662"
en,13.222999999999999,2012-09-21,6.7,2788,LGF,Dredd,"$45,000,000","$13,414,714","$41,467,606"
en,13.220999999999998,2012-03-30,5.8,2099,Rela.,Mirror Mirror,"$85,000,000","$64,935,167","$173,613,482"
en,13.152000000000001,2012-09-21,7.3,1770,ORF,End of Watch,"$15,000,000","$41,003,371","$57,586,606"
en,13.14,2012-04-20,6.9,2012,WB,The Lucky One,"$25,000,000","$60,457,138","$96,633,833"
en,13.117,2012-10-12,6.8,2935,LG/S,Sinister,"$3,000,000","$48,086,903","$87,727,807"
en,13.116,2012-02-10,6.4,1997,Uni.,Safe House,"$85,000,000","$126,181,630","$208,542,162"
en,13.046,2012-02-10,7.1,2409,SGem,The Vow,"$30,000,000","$125,014,030","$197,618,160"
en,12.942,2012-01-27,6.5,2280,ORF,The Grey,"$25,000,000","$51,580,136","$81,249,176"
en,12.829,2012-09-14,7.1,1323,Wein.,The Master,"$37,500,000","$16,247,159","$50,647,416"
en,12.817,2012-06-15,5.5,831,Sony,That's My Boy,"$57,500,000","$36,931,089","$58,085,235"
en,12.780999999999999,2012-02-03,6.1,2122,CBS,The Woman in Black,"$15,000,000","$54,333,290","$128,955,898"
en,12.693,2012-11-16,6.8,2261,BV,Lincoln,"$65,000,000","$182,207,973","$273,346,281"
en,12.592,2012-05-16,6.0,3042,Par.,The Dictator,"$65,000,000","$59,650,222","$180,148,897"
en,12.498,2012-06-22,5.6,2009,Fox,Abraham Lincoln: Vampire Hunter,"$67,500,000","$37,519,139","$137,489,730"
en,12.484000000000002,2012-08-24,6.2,1244,Sony,Premium Rush,"$35,000,000","$20,275,446","$31,393,201"
en,12.357000000000001,2012-01-13,6.2,1114,Uni.,Contraband,"$25,000,000","$66,528,000","$98,406,855"
en,12.27,2012-05-18,5.9,1130,LGF,What to Expect When You're Expecting,"$37,500,000","$41,152,203","$88,473,016"
en,12.197000000000001,2012-02-24,6.3,583,Rela.,Act of Valor,"$12,000,000","$70,012,847","$82,497,035"
en,12.147,2012-08-29,7.0,1660,Wein.,Lawless,"$26,000,000","$37,397,291","$54,393,687"
en,12.14,2012-09-14,6.2,459,RAtt.,Arbitrage,"$12,000,000","$7,919,574","$35,830,713"
en,12.017000000000001,2012-02-17,6.0,2096,Fox,This Means War,"$65,000,000","$54,760,791","$156,974,557"
en,11.964,2011-12-09,7.6,1306,Osci.,We Need to Talk About Kevin,"$7,000,000","$1,738,692","$10,765,283"
en,11.692,2012-11-02,6.7,3582,Par.,Flight,"$31,000,000","$93,772,375","$160,558,438"
en,11.369000000000002,2012-06-15,6.1,686,WB (NL),Rock of Ages,"$70,000,000","$38,518,613","$61,031,932"
en,11.36,2012-08-03,6.2,440,Fox,Diary of a Wimpy Kid: Dog Days,"$22,000,000","$49,008,662","$77,229,695"
en,11.298,2012-11-30,6.0,1105,Wein.,Killing Them Softly,"$15,000,000","$14,945,541","$39,238,443"
en,11.273,2012-04-13,5.9,1004,FD,Lockout,"$20,000,000","$14,326,865","$33,943,049"
en,11.263,2012-01-27,6.3,1460,LG/S,Man on a Ledge,"$42,000,000","$18,620,000","$49,621,440"
en,11.25,2012-10-19,7.0,1426,Gold.,The First Time,"$2,000,000","$17,061","$17,061"
en,10.967,2012-10-12,6.8,2109,CBS,Seven Psychopaths,"$13,500,000","$15,024,049","$33,035,736"
en,10.925,2012-07-27,6.8,1252,LG/S,Step Up Revolution,"$33,000,000","$35,074,677","$165,552,290"
en,10.729000000000001,2012-04-27,5.8,742,Uni.,The Five-Year Engagement,"$30,000,000","$28,700,285","$61,623,819"
fr,10.705,2012-12-19,7.7,746,SPC,Amour,"$9,700,000","$6,738,954","$36,787,044"
en,10.265999999999998,2012-08-10,5.7,982,WB,The Campaign,"$95,000,000","$86,907,746","$104,907,746"
en,10.265,2012-10-12,6.0,812,Sony,Here Comes the Boom,"$42,000,000","$45,290,318","$73,239,258"
en,10.247,2012-01-11,6.0,256,Fox,Red Tails,"$58,000,000","$49,876,377","$50,365,498"
en,10.228,2012-07-27,5.4,1356,Fox,The Watch,"$55,000,000","$34,353,000","$67,130,045"
en,10.124,2012-12-25,5.8,276,Fox,Parental Guidance,"$25,000,000","$77,267,296","$120,832,383"
en,9.987,2012-11-16,6.7,1265,Focus,Anna Karenina,"$49,000,000","$12,816,367","$71,004,627"
en,9.962,2012-10-18,5.1,424,LG/S,Alex Cross,"$35,000,000","$25,888,412","$35,426,759"
en,9.896,2012-02-24,5.4,693,Uni.,Wanderlust,"$32,500,000","$17,288,155","$24,159,934"
en,9.715,2012-03-02,6.4,2968,WB,Project X,"$12,000,000","$54,731,865","$103,028,188"
en,9.562999999999999,2012-06-22,5.7,1097,SPC,To Rome with Love,"$21,500,000","$16,684,352","$74,326,015"
en,9.42,2013-05-17,7.4,624,IFC,Frances Ha,"$3,000,000","$4,067,398","$11,262,769"
en,9.357999999999999,2012-04-13,5.1,215,Fox,The Three Stooges,"$30,000,000","$44,338,224","$54,052,249"
en,9.216000000000001,2012-08-15,6.7,605,BV,The Odd Life of Timothy Green,"$40,000,000","$51,853,450","$55,249,159"
en,9.214,2012-06-08,6.9,792,FD,Safety Not Guaranteed,"$750,000","$4,010,957","$4,422,318"
en,9.078,2012-06-29,6.8,360,BV,People Like Us,"$16,000,000","$12,431,792","$12,617,472"
en,9.059,2012-09-21,6.1,465,LD,The Collection,"$10,000,000","$6,810,754","$8,890,094"
en,8.978,2012-08-31,5.9,918,LGF,The Possession,"$14,000,000","$49,130,588","$82,925,064"
en,8.974,2012-09-06,5.1,463,LG/S,The Cold Light of Day,"$20,000,000","$3,763,583","$25,361,206"
en,8.965,2012-10-19,5.4,1026,Par.,Paranormal Activity 4,"$5,000,000","$53,900,335","$142,817,992"
en,8.939,2012-12-19,5.4,403,Par.,The Guilt Trip,"$40,000,000","$37,134,215","$41,294,674"
en,8.919,2012-12-21,5.6,518,IFC,On the Road,"$25,000,000","$720,828","$9,313,302"
en,8.665,2012-05-25,6.9,756,FoxS,The Best Exotic Marigold Hotel,"$10,000,000","$46,383,639","$134,639,780"
en,8.635,2012-04-27,6.3,681,Rela.,The Raven,"$26,000,000","$16,008,272","$30,601,801"
en,8.548,2012-09-21,6.7,613,WB,Trouble with the Curve,"$60,000,000","$35,763,137","$47,818,913"
en,8.312999999999999,2012-08-07,6.1,429,Sony,Hope Springs,"$30,000,000","$63,536,011","$133,085,295"
en,8.142999999999999,2012-10-05,5.5,409,MNE,The Paperboy,"$12,500,000","$677,200","$4,027,663"
en,8.102,2012-08-06,5.6,194,Uni.,Truth or Dare,"$3,500,000","$41,411,015","$95,127,344"
en,8.092,2012-06-22,6.4,1108,Focus,Seeking a Friend for the End of the World,"$10,000,000","$7,078,738","$11,766,959"
en,8.017000000000001,2012-03-08,6.1,685,P/DW,A Thousand Words,"$40,000,000","$18,450,127","$20,790,486"
en,8.016,2012-01-19,6.0,215,Wein.,Coriolanus,"$10,000,000","$749,641","$2,179,623"
en,7.778,2012-12-07,5.6,420,FD,Playing for Keeps,"$35,000,000","$2,000,000","$2,000,000"
en,7.7139999999999995,2012-08-24,4.3,221,WB,The Apparition,"$17,000,000","$4,936,819","$10,637,281"
hi,7.7010000000000005,2012-11-13,6.9,107,Yash,Jab Tak Hai Jaan,"$9,200,000","$3,047,539","$5,806,666"
en,7.53,2012-06-29,6.9,605,FoxS,Beasts of the Southern Wild,"$1,800,000","$12,795,746","$23,265,132"
en,7.518,2012-04-27,6.6,503,MNE,Bernie,"$6,000,000","$9,204,489","$10,106,975"
en,7.485,2012-08-16,6.9,620,Gold.,Robot & Frank,"$2,500,000","$3,317,468","$4,934,356"
en,7.403,2012-01-06,4.7,441,Par.,The Devil Inside,"$1,000,000","$53,262,945","$101,759,490"
en,7.2010000000000005,2012-09-07,6.6,628,CBS,The Words,"$6,000,000","$11,494,838","$16,369,708"
en,7.138999999999999,2012-07-05,6.8,147,Par.,Katy Perry: Part of Me,"$12,000,000","$25,326,071","$32,700,439"
en,7.115,2012-06-14,6.6,192,IFC,Your Sister's Sister,"$120,000","$1,597,486","$3,090,593"
en,7.072,2012-10-26,5.5,249,Par.,Fun Size,"$14,000,000","$9,409,538","$11,166,615"
en,7.05,2012-09-06,5.4,755,RTWC,Bachelorette,"$3,000,000","$446,770","$12,577,401"
en,7.0360000000000005,2012-01-04,6.1,332,IFC,Kill List,"$800,000","$29,063","$462,206"
en,6.93,2012-08-24,6.4,340,Magn.,Compliance,"$270,000","$319,285","$830,700"
en,6.877000000000001,2012-03-11,6.8,100,BG,Eden,"$2,300,000",$0,$0
en,6.787000000000001,2012-01-13,6.4,70,WB,Joyful Noise,"$27,500,000","$30,932,113","$31,157,914"
en,6.76,2012-02-03,6.6,250,Uni.,Big Miracle,"$40,000,000","$20,157,300","$25,268,680"
en,6.625,2012-04-06,5.5,103,SPC,Damsels in Distress,"$3,000,000","$1,007,535","$1,324,299"
en,6.546,2012-10-26,7.0,329,Fox,Chasing Mavericks,"$20,000,000","$6,002,756","$8,300,821"
en,6.46,2012-10-18,6.9,296,FoxS,The Sessions,"$1,000,000","$6,002,451","$11,495,204"
en,6.14,2012-09-28,6.3,64,Fox,Won't Back Down,"$19,000,000","$5,310,554","$5,745,503"
en,6.015,2012-08-22,8.2,276,Osci.,Samsara,"$4,000,000","$2,672,413","$5,966,671"
en,5.905,2012-04-20,6.9,438,SGem,Think Like a Man,"$12,000,000","$91,547,205","$113,373,764"
en,5.7620000000000005,2010-06-03,5.8,68,Anch.,High School,"$10,000,000","$139,034","$248,133"
fr,5.31,2012-10-17,7.0,431,IM,Holy Motors,"$4,000,000","$641,054","$4,230,426"
en,4.656000000000001,2012-04-20,5.0,46,SPC,Darling Companion,"$12,000,000","$793,352","$1,200,346"
ru,2.84,2012-06-06,4.9,8,Over.,Stone,"$22,000,000","$1,810,078","$4,065,020"
en,1.824,2012-12-07,4.7,16,Eros,Khiladi 786,"$5,600,000","$385,422","$14,683,763"
en,1.325,2012-09-14,5.7,2321,SGem,Resident Evil: Retribution,"$65,000,000","$42,345,531","$240,647,629"
en,1.111,2012-01-07,6.7,12,Fox,Morgan,"$8,000,000","$3,915,251","$7,298,786"
en,0.9059999999999999,2012-05-24,5.3,2,Uni.,Split,"$5,000,000","$138,141,585","$278,964,806"
en,0.632,2012-08-06,1.0,1,Sony,Salt,"$130,000,000","$118,311,368","$290,650,494"
en,0.6,2011-12-07,10.0,1,LGF,Nerve,"$20,000,000","$38,583,626","$70,652,284"
en,0.6,2012-07-14,6.0,1,DR,Jackpot,"$400,000","$44,452","$44,452"
en,0.6,2012-06-09,5.5,2,WB,Transcendence,"$100,000,000","$23,022,309","$103,039,258"
en,32.093,2013-05-03,6.9,14155,BV,Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272"
en,31.014,2013-11-08,6.7,10171,BV,Thor: The Dark World,"$150,000,000","$206,362,140","$644,602,516"
en,29.518,2013-12-25,7.9,12411,Par.,The Wolf of Wall Street,"$100,000,000","$116,900,694","$389,870,414"
en,27.836,2013-10-04,7.2,9586,WB,Gravity,"$110,000,000","$274,092,705","$693,698,673"
en,27.666999999999998,2013-06-14,6.5,9758,WB,Man of Steel,"$225,000,000","$291,045,518","$667,999,518"
en,26.183000000000003,2013-11-27,7.3,9767,BV,Frozen,"$150,000,000","$400,738,009","$1,272,469,910"
en,25.049,2013-12-25,6.0,2080,Uni.,47 Ronin,"$175,000,000","$38,362,475","$151,716,815"
